date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate
01-22-2020,2,0,0,2,0.0,0.0
01-23-2020,1,0,0,1,0.0,0.0
01-24-2020,2,0,0,2,0.0,0.0
01-25-2020,2,0,0,2,0.0,0.0
01-26-2020,4,0,1,3,0.0,25.0
01-27-2020,4,0,1,3,0.0,25.0
01-28-2020,7,0,1,6,0.0,14.29
01-29-2020,7,0,1,6,0.0,14.29
01-30-2020,11,0,1,10,0.0,9.09
01-31-2020,15,0,1,14,0.0,6.67
02-01-2020,20,0,1,19,0.0,5.0
02-02-2020,20,0,1,19,0.0,5.0
02-03-2020,20,0,1,19,0.0,5.0
02-04-2020,22,0,1,21,0.0,4.55
02-05-2020,22,0,1,21,0.0,4.55
02-06-2020,45,0,1,44,0.0,2.22
02-07-2020,25,0,1,24,0.0,4.0
02-08-2020,25,0,1,24,0.0,4.0
02-09-2020,26,0,1,25,0.0,3.85
02-10-2020,26,0,4,22,0.0,15.38
02-11-2020,26,0,9,17,0.0,34.62
02-12-2020,28,0,9,19,0.0,32.14
02-13-2020,28,1,9,19,3.57,32.14
02-14-2020,29,1,9,20,3.45,31.03
02-15-2020,43,1,12,31,2.33,27.91
02-16-2020,59,1,12,47,1.69,20.34
02-17-2020,66,1,12,54,1.52,18.18
02-18-2020,74,1,13,61,1.35,17.57
02-19-2020,84,1,18,66,1.19,21.43
02-20-2020,94,1,18,76,1.06,19.15
02-21-2020,105,1,22,83,0.95,20.95
02-22-2020,122,1,22,100,0.82,18.03
02-23-2020,147,1,22,125,0.68,14.97
02-24-2020,159,1,22,137,0.63,13.84
02-25-2020,170,1,22,148,0.59,12.94
02-26-2020,189,2,22,167,1.06,11.64
02-27-2020,214,4,22,192,1.87,10.28
02-28-2020,228,4,22,206,1.75,9.65
02-29-2020,241,5,32,209,2.07,13.28
03-01-2020,256,6,32,224,2.34,12.5
03-02-2020,274,6,32,242,2.19,11.68
03-03-2020,293,6,43,250,2.05,14.68
03-04-2020,331,6,43,288,1.81,12.99
03-05-2020,360,6,43,317,1.67,11.94
03-06-2020,420,6,46,374,1.43,10.95
03-07-2020,461,6,76,385,1.3,16.49
03-08-2020,502,6,76,426,1.2,15.14
03-09-2020,511,17,76,435,3.33,14.87
03-10-2020,581,10,101,480,1.72,17.38
03-11-2020,639,15,118,521,2.35,18.47
03-12-2020,639,16,118,521,2.5,18.47
03-13-2020,701,19,118,583,2.71,16.83
03-14-2020,773,22,118,655,2.85,15.27
03-15-2020,839,22,118,721,2.62,14.06
03-16-2020,825,27,144,681,3.27,17.45
03-17-2020,878,29,144,734,3.3,16.4
03-18-2020,889,29,144,745,3.26,16.2
03-19-2020,924,29,150,774,3.14,16.23
03-20-2020,963,33,191,772,3.43,19.83
03-21-2020,1007,35,232,775,3.48,23.04
03-22-2020,1086,36,235,851,3.31,21.64
03-23-2020,1128,42,235,893,3.72,20.83
03-24-2020,1193,43,285,908,3.6,23.89
03-25-2020,1307,45,310,997,3.44,23.72
03-26-2020,1387,47,359,1028,3.39,25.88
03-27-2020,1468,49,372,1096,3.34,25.34
03-28-2020,1693,52,404,1289,3.07,23.86
03-29-2020,1866,54,424,1442,2.89,22.72
03-30-2020,1866,54,424,1442,2.89,22.72
03-31-2020,1953,56,424,1529,2.87,21.71
