date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate,daily_growth_rate
01-23-2020,0,0,0,0,NaN,NaN,0.0
01-25-2020,3,0,0,3,0.0,0.0,0.0
01-26-2020,4,0,0,4,0.0,0.0,0.0
01-27-2020,4,0,0,4,0.0,0.0,0.0
01-28-2020,4,0,0,4,0.0,0.0,0.0
01-29-2020,7,0,0,7,0.0,0.0,0.0
01-30-2020,8,0,0,8,0.0,0.0,0.0
01-31-2020,8,0,0,8,0.0,0.0,0.0
02-01-2020,8,0,0,8,0.0,0.0,0.0
02-02-2020,8,0,0,8,0.0,0.0,0.0
02-03-2020,8,0,0,8,0.0,0.0,0.0
02-04-2020,10,0,0,10,0.0,0.0,0.0
02-05-2020,12,0,0,12,0.0,0.0,0.0
02-06-2020,12,0,0,12,0.0,0.0,0.0
02-07-2020,12,0,1,11,0.0,8.33,0.0
02-08-2020,16,0,1,15,0.0,6.25,0.0
02-09-2020,16,0,1,15,0.0,6.25,0.0
02-10-2020,18,0,1,17,0.0,5.56,0.0
02-11-2020,18,0,3,15,0.0,16.67,0.0
02-12-2020,18,0,3,15,0.0,16.67,0.0
02-13-2020,19,0,3,16,0.0,15.79,0.0
02-14-2020,19,0,3,16,0.0,15.79,0.0
02-15-2020,22,0,7,15,0.0,31.82,0.0
02-16-2020,22,0,7,15,0.0,31.82,0.0
02-17-2020,22,0,7,15,0.0,31.82,0.0
02-18-2020,22,0,13,9,0.0,59.09,0.0
02-19-2020,22,0,15,7,0.0,68.18,0.0
02-20-2020,22,0,15,7,0.0,68.18,0.0
02-21-2020,22,0,15,7,0.0,68.18,0.0
02-22-2020,22,0,15,7,0.0,68.18,0.0
02-23-2020,22,0,15,7,0.0,68.18,0.0
02-24-2020,22,0,18,4,0.0,81.82,0.0
02-25-2020,22,0,18,4,0.0,81.82,0.0
02-26-2020,22,0,18,4,0.0,81.82,0.0
02-27-2020,23,0,18,5,0.0,78.26,0.0
02-28-2020,23,0,18,5,0.0,78.26,0.0
02-29-2020,25,0,18,7,0.0,72.0,0.0
03-01-2020,29,0,18,11,0.0,62.07,0.0
03-02-2020,29,0,18,11,0.0,62.07,0.0
03-03-2020,36,0,22,14,0.0,61.11,0.0
03-04-2020,50,0,22,28,0.0,44.0,0.0
03-05-2020,50,0,22,28,0.0,44.0,0.0
03-06-2020,83,0,22,61,0.0,26.51,0.0
03-07-2020,93,0,23,70,0.0,24.73,0.0
03-08-2020,99,0,24,75,0.0,24.24,0.0
03-09-2020,117,0,24,93,0.0,20.51,0.0
03-10-2020,129,0,24,105,0.0,18.6,0.0
03-11-2020,149,0,26,123,0.0,17.45,0.0
03-12-2020,149,0,26,123,0.0,17.45,0.0
03-13-2020,197,0,26,171,0.0,13.2,0.0
03-14-2020,238,0,35,203,0.0,14.71,0.0
03-15-2020,428,0,42,386,0.0,9.81,0.0
03-16-2020,566,0,42,524,0.0,7.42,0.0
03-17-2020,673,2,49,624,0.3,7.28,0.0
03-18-2020,790,2,60,730,0.25,7.59,0.0
03-19-2020,900,2,75,825,0.22,8.33,0.0
03-20-2020,1030,3,87,943,0.29,8.45,0.0
03-21-2020,1183,4,114,1069,0.34,9.64,0.0
03-22-2020,1306,10,139,1167,0.77,10.64,0.0
03-23-2020,1518,14,159,1359,0.92,10.47,0.0
03-24-2020,1624,16,183,1441,0.99,11.27,0.0
03-25-2020,1796,20,199,1597,1.11,11.08,0.0
03-26-2020,2031,23,215,1816,1.13,10.59,0.0
03-27-2020,2161,26,259,1902,1.2,11.99,0.0
03-28-2020,2320,27,320,2000,1.16,13.79,0.0
03-29-2020,2470,35,388,2082,1.42,15.71,0.0
03-30-2020,2626,37,479,2147,1.41,18.24,0.0
03-31-2020,2766,43,537,2229,1.55,19.41,0.0
04-01-2020,2908,45,645,2263,1.55,22.18,0.0
