date,total_confirmed,total_deaths,total_recovered,total_infected,mortality_rate,recovery_rate
01-23-2020,0,0,0,0,NaN,NaN
01-30-2020,1,0,0,1,0.0,0.0
01-31-2020,1,0,0,1,0.0,0.0
02-01-2020,1,0,0,1,0.0,0.0
02-02-2020,2,1,0,2,50.0,0.0
02-03-2020,2,1,0,2,50.0,0.0
02-04-2020,2,1,0,2,50.0,0.0
02-05-2020,2,1,0,2,50.0,0.0
02-06-2020,2,1,0,2,50.0,0.0
02-07-2020,3,1,0,3,33.33,0.0
02-08-2020,3,1,0,3,33.33,0.0
02-09-2020,3,1,0,3,33.33,0.0
02-10-2020,3,1,0,3,33.33,0.0
02-11-2020,3,1,0,3,33.33,0.0
02-12-2020,3,1,1,2,33.33,33.33
02-13-2020,3,1,1,2,33.33,33.33
02-14-2020,3,1,1,2,33.33,33.33
02-15-2020,3,1,1,2,33.33,33.33
02-16-2020,3,1,1,2,33.33,33.33
02-17-2020,3,1,1,2,33.33,33.33
02-18-2020,3,1,1,2,33.33,33.33
02-19-2020,3,1,1,2,33.33,33.33
02-20-2020,3,1,1,2,33.33,33.33
02-21-2020,3,1,1,2,33.33,33.33
02-22-2020,3,1,1,2,33.33,33.33
02-23-2020,3,1,1,2,33.33,33.33
02-24-2020,3,1,1,2,33.33,33.33
02-25-2020,3,1,1,2,33.33,33.33
02-26-2020,3,1,1,2,33.33,33.33
02-27-2020,3,1,1,2,33.33,33.33
02-28-2020,3,1,1,2,33.33,33.33
02-29-2020,3,1,1,2,33.33,33.33
03-01-2020,3,1,1,2,33.33,33.33
03-02-2020,3,1,1,2,33.33,33.33
03-03-2020,3,1,1,2,33.33,33.33
03-04-2020,3,1,1,2,33.33,33.33
03-05-2020,3,1,1,2,33.33,33.33
03-06-2020,5,1,1,4,20.0,20.0
03-07-2020,6,1,1,5,16.67,16.67
03-08-2020,10,1,1,9,10.0,10.0
03-09-2020,20,1,1,19,5.0,5.0
03-10-2020,33,1,2,31,3.03,6.06
03-11-2020,49,1,2,47,2.04,4.08
03-12-2020,52,2,2,50,3.85,3.85
03-13-2020,64,5,2,62,7.81,3.13
03-14-2020,111,8,2,109,7.21,1.8
03-15-2020,140,11,2,138,7.86,1.43
03-16-2020,142,12,2,140,8.45,1.41
03-17-2020,187,12,5,182,6.42,2.67
03-18-2020,202,19,5,197,9.41,2.48
03-19-2020,217,17,8,209,7.83,3.69
03-20-2020,230,18,8,222,7.83,3.48
03-21-2020,307,19,13,294,6.19,4.23
03-22-2020,380,25,15,365,6.58,3.95
03-23-2020,462,33,18,444,7.14,3.9
03-24-2020,552,35,20,532,6.34,3.62
03-25-2020,636,38,26,610,5.97,4.09
03-26-2020,707,45,28,679,6.36,3.96
03-27-2020,803,54,31,772,6.72,3.86
03-28-2020,1075,68,35,1040,6.33,3.26
03-29-2020,1418,71,42,1376,5.01,2.96
03-30-2020,1546,78,42,1504,5.05,2.72
